iter	Passed	Remaining
566	23005	37855
567	23041	37807
568	23084	37770
569	23121	37723
570	23161	37682
571	23199	37638
572	23238	37595
573	23277	37552
574	23310	37500
575	23355	37465
576	23394	37423
577	23435	37383
578	23472	37336
579	23510	37293
580	23550	37251
581	23590	37209
582	23631	37170
583	23669	37125
584	23713	37089
585	23758	37056
586	23792	37005
587	23832	36965
588	23866	36914
589	23898	36861
590	23939	36821
591	23973	36770
592	24017	36734
593	24063	36702
594	24106	36665
595	24146	36624
596	24179	36572
597	24227	36543
598	24270	36506
599	24311	36467
600	24357	36434
601	24399	36396
602	24441	36358
603	24487	36326
604	24525	36280
605	24564	36238
606	24610	36206
607	24652	36167
608	24691	36125
609	24734	36087
610	24772	36044
611	24819	36013
612	24867	35982
613	24909	35944
614	24958	35916
615	25014	35896
616	25055	35857
617	25095	35815
618	25135	35774
619	25174	35731
620	25212	35687
621	25249	35642
622	25289	35600
623	25325	35553
624	25362	35507
625	25414	35483
626	25455	35442
627	25500	35407
628	25537	35362
629	25573	35316
630	25615	35276
631	25663	35246
632	25706	35209
633	25747	35169
634	25786	35126
635	25833	35094
636	25874	35054
637	25917	35016
638	25957	34975
639	25998	34935
640	26041	34898
641	26086	34862
642	26134	34832
643	26180	34798
644	26225	34764
645	26264	34721
646	26304	34679
647	26342	34636
648	26381	34592
649	26423	34553
650	26467	34518
651	26510	34479
652	26552	34441
653	26590	34396
654	26632	34358
655	26674	34319
656	26715	34278
657	26757	34239
658	26800	34201
659	26840	34160
660	26876	34113
661	26917	34073
662	26956	34031
663	26995	33988
664	27033	33943
665	27080	33912
666	27121	33871
667	27158	33826
668	27197	33783
669	27231	33734
670	27269	33691
671	27312	33652
672	27354	33613
673	27394	33572
674	27431	33527
675	27465	33478
676	27500	33431
677	27558	33411
678	27600	33372
679	27637	33327
680	27681	33291
681	27715	33241
682	27758	33204
683	27794	33158
684	27834	33116
685	27881	33083
686	27930	33053
687	27972	33014
688	28010	32970
689	28049	32927
690	28091	32888
691	28127	32842
692	28168	32802
693	28214	32767
694	28258	32730
695	28292	32683
696	28329	32637
697	28370	32598
698	28409	32555
699	28449	32513
700	28492	32475
701	28530	32432
702	28571	32391
703	28609	32348
704	28651	32309
705	28687	32263
706	28724	32218
707	28761	32173
708	28803	32134
709	28842	32092
710	28881	32049
711	28922	32009
712	28957	31962
713	29001	31925
714	29050	31894
715	29088	31851
716	29133	31814
717	29169	31769
718	29212	31731
719	29259	31697
720	29298	31654
721	29337	31612
722	29377	31572
723	29421	31535
724	29462	31494
725	29501	31451
726	29542	31411
727	29583	31371
728	29626	31332
729	29652	31277
730	29687	31231
731	29719	31181
732	29757	31137
733	29792	31091
734	29827	31045
735	29863	30999
736	29902	30957
737	29942	30916
738	29980	30873
739	30017	30828
740	30052	30782
741	30088	30737
742	30128	30696
743	30162	30649
744	30201	30606
745	30235	30559
746	30268	30511
747	30302	30464
748	30338	30419
749	30378	30378
750	30417	30336
751	30462	30300
752	30501	30258
753	30536	30212
754	30572	30167
755	30616	30130
756	30656	30089
757	30692	30045
758	30738	30009
759	30785	29974
760	30822	29931
761	30857	29885
762	30898	29845
763	30930	29796
764	30971	29756
765	31007	29711
766	31047	29670
767	31085	29628
768	31126	29588
769	31162	29543
770	31200	29500
771	31244	29463
772	31283	29422
773	31323	29381
774	31358	29335
775	31396	29292
776	31435	29250
777	31474	29208
778	31515	29169
779	31557	29129
780	31599	29090
781	31637	29048
